"Timestamp","servingcell_RSSI","RSSI","RSRP","RSRQ"
"2024-08-29 14:44:26","-51","-44","-80","-13"
"2024-08-29 14:44:27","-51","-45","-80","-14"
"2024-08-29 14:44:28","-51","-46","-80","-13"
"2024-08-29 14:44:29","-51","-45","-80","-13"
"2024-08-29 14:44:30","-51","-45","-80","-14"
"2024-08-29 14:44:31","-51","-45","-80","-15"
"2024-08-29 14:44:32","-51","-45","-80","-13"
"2024-08-29 14:44:33","-51","-44","-80","-15"
"2024-08-29 14:44:34","N/A","-45","-81","-14"
"2024-08-29 14:44:36","-51","-44","-81","-15"
"2024-08-29 14:44:37","-51","-45","-81","-14"
"2024-08-29 14:44:38","-51","-44","-81","-15"
"2024-08-29 14:44:39","-51","-45","-80","-14"
"2024-08-29 14:44:40","-51","-45","-81","-14"
"2024-08-29 14:44:41","-51","-46","-81","-15"
"2024-08-29 14:44:42","-51","-45","-81","-15"
"2024-08-29 14:44:43","-51","-45","-82","-14"
"2024-08-29 14:44:44","-51","-44","-81","-15"
"2024-08-29 14:44:46","-51","-44","-81","-14"
"2024-08-29 14:44:47","-51","-44","-81","-15"
"2024-08-29 14:44:48","-51","-45","-81","-14"
"2024-08-29 14:44:49","-51","-45","-82","-14"
"2024-08-29 14:44:50","-51","-45","-82","-14"
"2024-08-29 14:44:51","-51","-44","-82","-14"
"2024-08-29 14:44:52","-51","-43","-81","-15"
"2024-08-29 14:44:53","-51","","",""
"2024-08-29 14:44:55","-51","-46","-81","-14"
"2024-08-29 14:44:56","-51","-45","-81","-14"
"2024-08-29 14:44:57","-51","-44","-82","-14"
"2024-08-29 14:44:58","-51","-45","-82","-14"
"2024-08-29 14:44:59","-51","-45","-81","-14"
"2024-08-29 14:45:00","-51","-45","-81","-14"
"2024-08-29 14:45:01","-51","-45","-81","-15"
"2024-08-29 14:45:02","-51","-44","-81","-14"
"2024-08-29 14:45:03","-51","-45","-81","-15"
"2024-08-29 14:45:04","-51","-44","-81","-15"
"2024-08-29 14:45:05","-51","-44","-82","-16"
"2024-08-29 14:45:07","-51","-45","-82","-16"
"2024-08-29 14:45:08","-51","-45","-82","-16"
"2024-08-29 14:45:09","-51","-44","-82","-15"
"2024-08-29 14:45:10","-51","-44","-81","-15"
"2024-08-29 14:45:11","-51","-44","-81","-15"
"2024-08-29 14:45:12","-51","-45","-81","-15"
"2024-08-29 14:45:13","-51","-45","-81","-15"
"2024-08-29 14:45:14","-51","-45","-81","-16"
"2024-08-29 14:45:15","-51","-45","-81","-15"
"2024-08-29 14:45:16","-51","-44","-81","-15"
"2024-08-29 14:45:17","-51","-44","-81","-15"
"2024-08-29 14:45:18","N/A","-45","-81","-15"
"2024-08-29 14:45:20","-51","-44","-81","-15"
"2024-08-29 14:45:21","-51","-46","-82","-15"
"2024-08-29 14:45:22","-51","-47","-82","-15"
"2024-08-29 14:45:23","-51","-46","-82","-14"
"2024-08-29 14:45:24","-51","-43","-82","-16"
"2024-08-29 14:45:25","-51","-46","-81","-15"
"2024-08-29 14:45:27","-51","-45","-82","-16"
"2024-08-29 14:45:28","N/A","-45","-83","-16"
"2024-08-29 14:45:30","-51","-46","-84","-17"
"2024-08-29 14:45:31","-51","-44","-83","-17"
"2024-08-29 14:45:32","-51","-45","-79","-16"
"2024-08-29 14:45:33","-51","-46","-78","-15"
"2024-08-29 14:45:34","-51","-46","-83","-18"
"2024-08-29 14:45:35","-51","-47","-88","-20"
"2024-08-29 14:45:36","-51","-50","-98","-20"
"2024-08-29 14:45:37","-51","-50","-90","-20"
"2024-08-29 14:45:38","-51","-50","-87","-19"
"2024-08-29 14:45:39","-51","-51","-88","-20"
"2024-08-29 14:45:40","-51","-51","-90","-20"
"2024-08-29 14:45:41","-51","-49","-88","-20"
"2024-08-29 14:45:42","-51","-49","-87","-19"
"2024-08-29 14:45:43","-51","-49","-88","-19"
"2024-08-29 14:45:44","-51","-49","-87","-20"
"2024-08-29 14:45:45","-51","-50","-87","-20"
"2024-08-29 14:45:46","-51","-48","-85","-18"
"2024-08-29 14:45:48","-51","-50","-85","-18"
"2024-08-29 14:45:49","-51","-48","-84","-17"
"2024-08-29 14:45:50","-51","-47","-84","-18"
"2024-08-29 14:45:51","-51","-49","-85","-18"
"2024-08-29 14:45:52","-51","-49","-85","-17"
"2024-08-29 14:45:53","-51","-51","-90","-20"
"2024-08-29 14:45:54","-51","-50","-89","-20"
"2024-08-29 14:45:55","-51","-47","-92","-20"
"2024-08-29 14:45:56","-51","-51","-89","-20"
"2024-08-29 14:45:57","-51","-51","-87","-17"
"2024-08-29 14:45:58","-51","-50","-86","-19"
"2024-08-29 14:45:59","-51","-48","-88","-20"
"2024-08-29 14:46:00","-51","-49","-90","-20"
"2024-08-29 14:46:01","-51","-50","-86","-19"
"2024-08-29 14:46:02","-51","-49","-88","-20"
"2024-08-29 14:46:03","-51","-50","-88","-20"
"2024-08-29 14:46:04","-51","-52","-94","-20"
"2024-08-29 14:46:05","-55","-52","-87","-17"
"2024-08-29 14:46:06","-55","-54","-89","-18"
"2024-08-29 14:46:08","-55","-52","-89","-19"
"2024-08-29 14:46:09","-51","-53","-88","-18"
"2024-08-29 14:46:10","-51","-55","-87","-17"
"2024-08-29 14:46:11","-51","-55","-86","-15"
"2024-08-29 14:46:12","-53","-53","-86","-15"
"2024-08-29 14:46:13","-53","-56","-87","-15"
"2024-08-29 14:46:14","-53","-55","-86","-15"
"2024-08-29 14:46:15","-53","-53","-86","-15"
"2024-08-29 14:46:16","-53","-53","-86","-15"
"2024-08-29 14:46:17","-53","-54","-85","-13"
"2024-08-29 14:46:18","-55","-57","-86","-13"
"2024-08-29 14:46:19","-55","-52","-86","-14"
"2024-08-29 14:46:20","-55","-56","-86","-13"
"2024-08-29 14:46:21","-57","-58","-87","-13"
